Genus,average,overall,sd,ratio,ava,avb,ord,cusum,p,cumulative
13-2-20CM-66-19,0.019364815653711245,0.7244038803945835,0.016019361946445234,1.2088381371524215,0.0275672292,0.053535641,2343,0.057370053547778015,0.003,0.019364815653711245
Streptomyces,0.012419448900306973,0.7244038803945835,0.0064779645481548445,1.9171838326661537,0.032416598166666664,0.011347309923076922,812,0.9203147803898862,0.001,0.03178426455401822
RAAP-2,0.009774824854437217,0.7244038803945835,0.01374997555924058,0.7108976166774428,0.0120086569,0.02141479782692308,3355,0.9761130963505754,0.114,0.04155908940845544
Acidithiobacillus,0.009224610735530298,0.7244038803945835,0.012758612182243268,0.7230105127239937,0.0065425819,0.02022097373076923,2061,0.9871924306394991,0.299,0.050783700143985734
JAMDCX01,0.008558500206691869,0.7244038803945835,0.006210766778064299,1.378010238110935,0.007346884066666667,0.01931623642307692,1417,0.9847820981364322,0.001,0.0593422003506776
Acidiphilium,0.008349045165368316,0.7244038803945835,0.00788763894914699,1.0584973804196784,0.005155323066666667,0.020275307884615384,1126,0.3035725091416282,0.004,0.06769124551604591
UBA4572,0.008164794598441048,0.7244038803945835,0.0060532289725332466,1.3488329345361145,0.005105331066666666,0.01938551882692308,1563,0.9851097731050029,0.001,0.07585604011448696
Thiomonas,0.007992426936423323,0.7244038803945835,0.0067111557835446934,1.1909166161840887,0.014050608633333333,0.014538480615384616,2789,0.9850654734421675,0.013,0.08384846705091029
Cuniculiplasma,0.007415096175135267,0.7244038803945835,0.009912876466368669,0.7480266903650419,0.002986693533333333,0.014803234019230766,95,0.9855755021475066,0.306,0.09126356322604555
Ferroplasma,0.007305914588530548,0.7244038803945835,0.01250527586032076,0.5842265832545298,0.0012801608666666666,0.014269524057692306,3255,0.9999999999999967,0.356,0.0985694778145761
JAKAAZ01,0.006961351546014368,0.7244038803945835,0.005516419120283542,1.2619330392097832,0.007860542833333335,0.017375856192307693,532,0.9625410214657527,0.034,0.10553082936059047
Acidiferrobacter,0.006174358078903471,0.7244038803945835,0.007164035189718911,0.8618547948737434,0.004474571066666666,0.011061974903846155,5920,0.9871396922599412,0.68,0.11170518743949394
JAJZBZ01,0.005912909959859853,0.7244038803945835,0.006133503368154465,0.9640346804992483,0.0036244525666666665,0.012071772846153846,7271,0.9841022768090186,0.006,0.11761809739935379
Metallibacterium,0.005907996503633545,0.7244038803945835,0.008231309015733993,0.7177468969201035,0.0056852089000000005,0.014008380346153846,1504,0.9783417202107936,0.141,0.12352609390298734
JABEUN01,0.005860218592404348,0.7244038803945835,0.005388871582832967,1.0874667362779484,0.0034414207000000004,0.01249513351923077,7346,0.9856759725858757,0.001,0.12938631249539168
Bradyrhizobium,0.005666539778486683,0.7244038803945835,0.004982335692333012,1.13732597087076,0.011122249,0.00384247423076923,4610,0.5447358799250358,0.001,0.13505285227387837
Leptospirillum_A,0.005618217504643451,0.7244038803945835,0.007966619130608225,0.705219794311231,0.0019128177666666666,0.011082891269230769,631,0.9848571308081431,0.281,0.1406710697785218
Sulfobacillus,0.005538498696868601,0.7244038803945835,0.009977676825129955,0.5550890045786249,0.0012269003666666666,0.010639832788461541,7658,0.9998498256915919,0.492,0.1462095684753904
Actinoplanes,0.005089612881004,0.7244038803945835,0.0031872265411581127,1.596878293801681,0.012993092566666666,0.005491547673076923,5794,0.3668736708011012,0.001,0.15129918135639442
Acidibrevibacterium,0.004989673309618309,0.7244038803945835,0.00415773474704779,1.2000941890680352,0.0031153086333333335,0.011953427403846154,2059,0.9332422806354636,0.002,0.15628885466601272
