Genus,CT,relative_abundance
13-2-20CM-66-19,1,1.8807644150000002
13-2-20CM-66-19,2,1.1457941580000002
13-2-20CM-66-19,3,1.019178667
13-2-20CM-66-19,4,0.83211536
Acidiphilium,1,0.5916835030000002
Acidiphilium,2,0.313887601
Acidiphilium,3,0.386997454
Acidiphilium,4,0.272678347
Actinoplanes,1,0.3809523
Actinoplanes,2,0.328981924
Actinoplanes,3,0.16658378199999999
Actinoplanes,4,0.078622182
Bradyrhizobium,1,0.236131057
Bradyrhizobium,2,0.313405981
Bradyrhizobium,3,0.134423002
Bradyrhizobium,4,0.06145210699999999
JABEUN01,1,0.2776502899999999
JABEUN01,2,0.170205041
JABEUN01,3,0.275089127
JABEUN01,4,0.184931197
JAJZBZ01,1,0.24390600999999992
JAJZBZ01,2,0.167300393
JAJZBZ01,3,0.28285278899999994
JAJZBZ01,4,0.188657959
JAKAAZ01,1,0.689778793
JAKAAZ01,2,0.24794789899999994
JAKAAZ01,3,0.3738524740000001
JAKAAZ01,4,0.22326326600000002
JAMDCX01,1,0.657964115
JAMDCX01,2,0.3440083890000001
JAMDCX01,3,0.42502216099999995
JAMDCX01,4,0.27585490200000007
Streptomyces,1,0.9806201970000001
Streptomyces,2,0.7528348419999998
Streptomyces,3,0.46351581300000005
Streptomyces,4,0.229056988
Thiomonas,1,0.5975377939999998
Thiomonas,2,0.3294365160000001
Thiomonas,3,0.48788477999999985
Thiomonas,4,0.23027555299999997
UBA4572,1,0.7906722150000001
UBA4572,2,0.27228757499999995
UBA4572,3,0.37285399599999997
UBA4572,4,0.231741384
